q1_describe_samp_pop,describesample
q2_describe_samp_pop,describesample
q3_describe_samp_pop,describesample
q4_describe_samp_pop,describesample
q1_id_samp_techniq_critiq_validity,idsampling
q2_id_samp_techniq_critiq_validity,idsampling
q1_id_samp_techniq,idsampling
q2_id_samp_techniq,idsampling
q3_id_samp_techniq,idsampling
q4_id_samp_techniq,idsampling
q1_critiq_study_valid,identifybiassample
q2_critiq_study_valid,identifybiassample
q1_survey_design_critiq_validity,identifybiassample
q2_survey_design_critiq_validity,identifybiassample
q1_experi_vs_obstudy_critiq_valid,experimvsobs
q2_experi_vs_obstudy_critiq_valid,experimvsobs
q1_experi_vs_obstudy,experimvsobs
q2_experi_vs_obstudy,experimvsobs
q3_experi_vs_obstudy,experimvsobs
q4_experi_vs_obstudy,experimvsobs
q1_critiq_study_valid_m2_2,surveydesign
q2_critiq_study_valid_m2_2,surveydesign
q1_survey_design,surveydesign
q2_survey_design,surveydesign
q1_critiq_study_valid_m2,lurkingvar
q2_critiq_study_valid_m2,lurkingvar
q1_id_lurking_var,lurkingvar
q2_id_lurking_var,lurkingvar
q1_id_study_design,studydesigndefin
q4_id_study_design,studydesigndefin
q5_id_study_design,studydesigndefin
q1_study_design_def,studydesigndefin
q2_study_design_def,studydesigndefin
q2_id_study_design,idstudydesign
q3_id_study_design,idstudydesign
q6_id_study_design,idstudydesign
q1_id_study_design_2,idstudydesign
q2_id_study_design_2,idstudydesign
Post_assessment_q6_id_study_design,idstudydesign
Post_assessment_q1_id_study_design_2,idstudydesign
Post_assessment_q2_id_study_design_2,idstudydesign
